HOUSE_TYPE,PRICE_PER,BJDONG_NM,CENTER_LONG,CENTER_LATI
연립다세대,1747.7054331340503,번동,127.03675551051244,37.62904413412293
연립다세대,1971.9636973356469,신월동,126.83432123077874,37.52660593745799
연립다세대,4308.045551212145,개포동,127.06259188505676,37.48027638208536
연립다세대,5145.005960487733,역삼동,127.0385490769512,37.50007839967135
연립다세대,2474.3200146521253,상도동,126.9440804462442,37.49870787980003
연립다세대,2250.768543249474,하월곡동,127.03935699563534,37.60468156510123
연립다세대,3920.775171585728,잠원동,127.00909158692494,37.51510276517586
연립다세대,2161.583683284533,화곡동,126.8472706001972,37.540699201322994
연립다세대,1433.7050397099076,방학동,127.03106431008626,37.665283907981184
연립다세대,1543.3896627883676,공릉동,127.09101086682487,37.630496379881066
연립다세대,1577.214287772214,홍은동,126.9385709042098,37.59302549117553
연립다세대,1878.4529277741806,역촌동,126.91462526557598,37.6045776295367
연립다세대,2419.250149777074,불광동,126.9355775268644,37.619155862149974
연립다세대,3111.374801686418,성산동,126.90469377493744,37.56565855521696
연립다세대,1819.8233462956184,오류동,126.83854726394608,37.4919918844728
연립다세대,4079.6078678214403,신길동,126.91361404352892,37.506064430223205
연립다세대,2016.7122974626004,신내동,127.10080876635266,37.61260284187596
연립다세대,2151.59406507936,갈현동,126.91357868388484,37.62154267658806
연립다세대,2263.9187288155185,목동,126.874521339432,37.53604466340131
연립다세대,2250.9979428807455,상계동,127.07033673387208,37.67299194181273
연립다세대,2124.9221928701004,봉천동,126.9534874765543,37.47797496610814
연립다세대,3332.7076935927594,하왕십리동,127.0280249710694,37.56398726679418
연립다세대,5121.03535856953,성수동1가,127.04282053255558,37.54361013482139
연립다세대,2294.6895649824173,독산동,126.8982967098815,37.46747612339402
연립다세대,5605.666813192214,방배동,126.99311799562292,37.47949267195766
연립다세대,2594.2229024537332,돈암동,127.0182784560044,37.59779444774695
연립다세대,5450.242042532863,노량진동,126.94188374828862,37.511569947642336
연립다세대,5070.144823495635,이촌동,126.96653207983836,37.51745298057991
연립다세대,5166.281566181814,서계동,126.9667991722266,37.55216608069694
연립다세대,1605.6150204289181,수유동,127.00737178236452,37.63832677944964
연립다세대,2390.1448933737693,대조동,126.92315293702484,37.61225609331376
연립다세대,2630.544449367839,휘경동,127.06452154066405,37.58821353212453
연립다세대,2824.2746501879737,신정동,126.93035131820749,37.543178482062096
연립다세대,2824.2746501879737,신정동,126.8557190417005,37.51519455087799
연립다세대,1978.289410303641,항동,126.82459683794686,37.481036282021215
연립다세대,1960.881340670748,신사동,126.9072033689634,37.59561341565446
연립다세대,1960.881340670748,신사동,127.0265021417178,37.52380657423338
연립다세대,10649.915058606586,청담동,127.0504717775772,37.52439589934928
연립다세대,3982.5206213649967,고덕동,127.15823011188463,37.56382203459346
연립다세대,4283.862562978263,서초동,127.01680535750032,37.48837476066834
연립다세대,3574.1672022613375,잠실동,127.08339049764068,37.5119628280698
연립다세대,2109.360162822263,상월곡동,127.04777420744264,37.6061701407617
연립다세대,3039.496268945781,천호동,127.12763147740576,37.544376009316714
연립다세대,3082.9045612798795,방이동,127.12538894253488,37.51567462461493
연립다세대,1650.299798314311,쌍문동,127.0270974101564,37.65335781177766
연립다세대,2861.2968852306267,사당동,126.97231151798462,37.485622527920334
연립다세대,2633.5008036089343,장안동,127.07002444607362,37.57020694782509
연립다세대,4424.6435115064705,행당동,127.03598863989598,37.55762723715426
연립다세대,2974.12081352078,상일동,127.1696399453634,37.55110315997119
연립다세대,4642.822320843806,북아현동,126.95438644117792,37.5624196966443
연립다세대,2547.5278728305743,중곡동,127.08878691844792,37.56353618720835
연립다세대,3181.4160762826727,용두동,127.03429171485794,37.57572086231629
연립다세대,5135.950932005675,공덕동,126.95494771882709,37.548070476424705
연립다세대,4757.517841218286,대치동,127.06334667950938,37.49918983082211
연립다세대,3017.4424927137147,녹번동,126.93458290540777,37.605309755631055
연립다세대,2271.2458980028105,창전동,126.9300885513184,37.550265062353155
연립다세대,2629.072257894821,이문동,127.0632499833876,37.59946110520826
연립다세대,4835.805934960874,아현동,126.95631975429208,37.554468382783945
연립다세대,3042.410825783979,문정동,127.12255946532606,37.48558503611152
연립다세대,2979.292744600135,도림동,126.90054204843766,37.50910124208346
연립다세대,2948.830053031556,장위동,127.04991549658914,37.61521889311376
연립다세대,2843.3677272113405,면목동,127.08921892289165,37.58237609941504
